organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
NFVVCDVuAkk,Madiany Sub County  Hospital,13747,,,2,1,19
VzKk9IOkE2W,Madogo Health Centre,11533,,,2,,10
RELmuAM0tcj,Madunguni Dispensary,11534,,,,,3
H4oRcn5cGwc,Maeni Dispensary,15986,,,,,1
Dl3IhHA46dv,Maeta Dispensary,22113,,,1,,1
Lj0cG3leIx7,Mafubu Dispensary,21058,,,1,,1
WE4BRsTQFL4,Magacha dispensary,22092,,,1,,
hnveIA9HE5L,Magadi Hospital,15107,,,,,4
roHvB9P8Of1,Magaoni Health Centre,20453,Health Centre,,1,,2
eZ1lHxSAjET,Magena Health Centre,13748,,,4,,8
CSHDsXBlP7m,Magenche Health Centre,13749,,,,,1
gpUX2gUBsc9,Mageta Health Centre,13750,level 3 facility  in the island usigu division,,1,,5
IsPfFl0jTyA,Magina Health Center,18430,Health Center,,1,,5
XfoCce2vn0n,Magina Health Centre,13751,,,,,3
sgK5aw8tN1y,Mago Care Health Centre,21115,Situated along Chavakali Kaimosi road adjacent to Mago polytechnic,,,,2
OQaFzTxqOby,Magodzoni Dispensary,11537,,,,,1
x3c9TIriCaS,Magogoni Dispensary,21447,,,,,1
FcIvchcbwUH,Magombo Community Dispensary,17134,,,,,2
nrZfcIAiyRx,Magombo Health Centre,13752,,,1,,1
ThT4PxgmYQL,Magongo (MCM) Dispensary,11538,,,1,,21
vBqYUbQHTyR,Magunga Level IV Hospital,13753,,,,1,5
fXf88nqZeKn,Magutuni Sub County Hospital,12445,,1,1,,7
fgKTzsc9pph,Magwagwa Health Centre,13756,,,1,2,2
mzlrz5MPNNj,Mahanga Dispensary (Lugari),15987,,,,,2
t0zCVxe2wkB,Mahaya Health Centre (Rarieda),13757,,,2,,5
D1MRmsEeJs8,Mai Mahiu Health Centre,15108,,1,,2,9
fdUe86MgnlP,Maiela Health Centre,15106,,,,,3
dzOCj3AlCqe,Mailisaba Dispensary,20002,,,1,,5
UY8nK9KsUAn,Mailwa Dispensary,15109,,,1,,1
wgWlZhxXfS5,Maina & Mwangi Health Centre,10671,,,,,2
PuE4XHg3mFm,Maina Village Dispensary,10672,,,,1,5
DsOK1u3aO6G,Mainga Health Centre,21208,,,,,129
Rc7MMPnZZtn,Maisha House VCT (Noset),19308,,,,,5
m1rIRzltm2c,Maisha Medical clinic,22273,private clinic,,,,1
lbpwWBn36iE,Majengo Dispensary,15988,,,,,5
aNcnmaf1UCw,Majengo Dispensary (Mombasa),11541,,,,,4
f5u3DrjWcWl,Maji Mazuri Dispensary (Clay City),26018,,,1,,8
htORguqjmqN,Maji Moto Dispensary (Narok South),15113,,,,,1
krbDCPlJYbp,Maji Tamu Health Centre,15114,,,,,1
uHfIgrEy6SL,Maji Ya Chumvi Dispensary,21947,Along mombasa Nairobi highway,,,,1
dKITOqGbRyb,Majira Dispensary,17891,Located at majira market,,,,2
k25SFxZn4B9,Majoreni Dispensary,11544,,,1,,1
xfBJE36F5de,Makadara Health Care,12450,,,,,4
qmZ0gpAyEdq,Makadara Hospital,13056,Along gogoo Road Opposite Hamza Makadara Railaw station,,5,,27
ENCv690Yryw,Makadara Mercy Sisters Dispensary,13057,,,1,,7
mr3btxzpInp,Makararangwe Dispensary,13758,,,,,2
MWWddpdCM6G,Makengi Dispensary (Embu),12453,,,,,2
KdtVVSJJSbP,Makhanga Dispensary,15989,,,1,,1
lmjsZcvSbbG,Makhonge Dispensary,20493,,,1,,2
BDrlSp3SHoq,Makhonge Health Centre,15990,,,,,1
uAFvoO68slK,Makima Dispensary,12454,,,,1,5
TxgBbTRAu2K,Makimeny Dispensary,15116,,,1,,5
DaVBemEUKpb,Makina Clinic,13058,,,,,1
VIcEVgDqhW5,Makindu Catholic Dispensary,11961,,,,,1
NQrGfGGhV0g,Makindu Dispensary,13759,,,,,3
aA0u9LbIY9e,Makindu Sub County Hospital,12455,,,5,,31
aQqBjPqT0jU,Makongeni Dispensary,18432,,,1,,13
Bhr4Rlyp4dt,Makongeni Level 4,19858,,,1,,6
kwyBjVtokh1,Makueni Catholic Dispensary,12456,,,,,2
YgHyNJOU8hs,Makueni County Referral Hospital,12457,,,2,,20
WHog7fSSmKt,Makunga Sub-County Hospital,15991,,,3,,15
omNhxa7JXcA,Makutano Dispensary (Mbeere-Mwea),22270,,,,,1
OochC7lpTbO,Makutano Health Centre,15992,,,1,,8
DrNrgTebbHB,Makutano Health Centre (Turkana North),15117,,,,,6
ZHKA6zNeUk2,Makuyu Health Centre,10674,,,2,1,10
wWhedwTX3cL,Makwa Community Dispensary,20855,Ministry of Health,,,,1
a0qvQ3FrCD8,Malaba Health center,15993,,,2,,14
sS7IzDF2Tm1,Malaha Dispensary,17150,,,1,,3
JjWUdSzNa2G,Malaika Dispensary,19622,,,,,3
HAD4hll0ALY,Malakisi Health Centre,15994,,,1,,8
EPAB7cFMg8F,Malalani Health Centre,12459,,,,,1
qZIiCNR0SIG,Malanga (AIC) Dispensary,11553,,,,,4
Dc490tfhuoe,Malanga Dispensary,15995,,,,,3
LG4e3brI9u7,Malanga Health Centre,13760,,,2,,16
pxlVNltvIME,Malava County Hospital,15996,,1,6,,21
CceWNo4yXvT,Malekha Dispensary,15997,,,1,,2
J7EO2t0VKCs,Malela Level 4 Hospital,13761,,,,,3
qqhDXan6YY4,Maliera SDA Dispensary,20013,,,,,3
KsEfSU4KAFk,Malili Dispensary,22829,on the main mombasa  highway before  Malili Town,,,,3
vzRh9ON9ZsM,Malindi Sub-County Hospital,11555,,,2,,49
CQFAYq3arhb,Mama Anns Odede Community Health Centre,18912,,,,,1
FhJyGii0JLR,Mama Freda Medical Centre,13763,,,,,4
EmMu340uBVZ,Mama Lucy Kibaki Hospital (Embakasi),17411,,7,3,,89
K1RCKIpNpG9,Mama Margaret Uhuru Hospital,28885,,,1,,10
ZSjZcx0lxrz,Mama Plister Blair Health Centre,17121,,,1,,4
QR1g2biIGKf,Mama Vero Clinic,12464,at West of Kabati town opposite Greenland hotel,,1,,2
uz2t2srEkfb,Mamba Dispensary (Yatta),12465,,,1,,
O8cO0JfUo2l,Mambrui Dispensary,11559,,,,,2
Ae73VdvXFaH,Mamlaka Medical Centre,20562,,,,,2
MquvtmkXHX7,Mananja Health Centre,12466,,,1,,2
S0pNUj8UTsw,Manda Dispensary,17681,,,1,,5
cpmUjkUfMqG,Mandera Central Sub county Hospital,13335,Sub-county referral hospital,,,,1
jqrGlRD2MbV,Mandera County Refferal Hospital,13402,,,1,,7
PK41JfdNIjz,Mandera North Sub County Hospital,13423,,,,,1
bxLmKCtMU4e,Mandera West Sub County Hospital,13445,Sub-county Referral Hospital,,,,1
gO4F9cwk5WB,Manga Sub County Hospital,13766,,,,,4
oHDwiPFaNCX,Mangima SDA Health Centre,13768,,,,,1
yPFhQ8EkS2h,Mango Dispensary,12469,,,,,1
KysFcG0IQYZ,Manunga Health Centre,10681,,,,,3
Jq3sWm3tMJy,Manyala Sub County Hospital,15999,,,,,8
Nkbsp23UkM3,Manyatta (SDA) Dispensary,13769,,,,,3
j0VmAofVrzi,Manyoror Health Centre,15121,,,1,,3
EZCHSlG09NE,Manyuanda Health Centre (Rarieda),13771,,,,,7
gzocEzWT73W,Manyuanda Sub county Hospital,13770,,,3,,7
M6xawHYldR7,Mapengo Dispensary,16000,,,,,2
UeuVZHyyPv7,Mapenya Dispensary,17692,,,,,3
kKVNAgtxsgI,Marafa Sub County Hospital,11562,,,1,,4
WMjR7Dtk7aj,Maragua Sub County Hospital,10686,,2,1,1,20
MMuiOe71sYx,Maraigushu Dispensary,15124,,,,,5
dsaHh6LxrRQ,Maram Health Center,16258,,,1,,4
DwWnWJI4PTH,Maranjau Dispensary,10688,,,,,2
sbtG4aQyRyp,Mararianta Health Centre,15128,,,,,4
BdTuCmOCIMJ,marble healthcare limited,22839,,,,,1
Jm2yFzjQT78,Marenyo Health Centre,13773,,,,,2
xFk3GI5SCCl,Marereni Dispensary,11563,,,2,,15
TXorfZmnbmS,Maria Immaculate Hospital Lavington,13062,,,,,4
tKrbbrbKFeR,Maria Maternity and Nursing Home,13063,,,,,1
WdUQzRRlAh7,Maria Salus Infirmorum Dispensary,18690,,,,,3
UweDhlAvRBI,Maria Teressa Nuzzo Health Centre,11565,,,,,7
zehMGHbsddQ,Mariaini Dispensary,16970,,,,,3
mITAGtWnWEK,Mariakani Sub County Hospital,11566,Along mombasa -Nairobi highway past Mazeras from Mombasa,,3,,14
Ne8epHQ6cvK,Marian Medical and Dental clinic,23363,,,,,1
ZgoaGXYlUAa,Mariashoni Health Centre,15129,,,1,,5
uaqcLhhRVvt,Maridadi Dispensary,15131,,,1,,1
HgLP7uiWiHF,Marie Stopes Clinic (Imenti North),12471,,,,,1
pDk8s6dEjVq,Marie Stopes Clinic (Kenya Kenyatta Market),16167,,,,,1
jzJ2GD3Mq5s,Marie Stopes Clinic (Ongata Rongai),22082,,,,,1
gfMG2L5HUVF,Marie Stopes Nursing Home (Eastleigh),13068,,,,,1
MdPskPzrGGB,Marigo Dispensary,20610,,,,,3
tLVjdEE6IX2,Marimanti Sub County Hospital,12795,,,1,,4
QCJg5rSJRPh,Marinda Dispensary,22547,Dispensary,,1,,3
t0xZjkBr5NR,Marindi Sub County Hospital,13777,,,3,,22
EzXf41XSStT,Marinyin Dispensary,15139,Disp.,,,,1
LGgFPRuWpws,Mariwa Health Centre,13778,,,,,3
q8zzN60wLuk,Maroba Health Centre,21449,Situated Along Gucha Misesi Road,,1,,3
BqM4BVER9Jp,Marps Drop In Medical Centre,18767,,,,,9
CsSNsJ8Nzue,Marte Elepareu Dispensary,20747,,,,,1
ccal2qRq8My,Marungu Health Centre,11572,,,,,1
DAovPvkpsUa,Marura Nursing Home,13070,,,,,1
FzCzyHnlX47,Marurui Health Centre,13071,,,4,1,13
hMj9Y1CRfLV,Mary Help of The Sick Hospital,10698,,,,,6
y163WNynmPf,Mary Immaculate (Ruringu),22174,,,1,,1
Ys64m0FQOFC,Mary Immaculate Clinic Mukuru,12982,,,,,13
gQOARcEQVeO,Mary Immaculate Hospital (Nyeri North),10700,,,,,2
aZUlxxTSP2m,Mary Immaculate Kerugoya Hospital,10519,,,1,,1
DINYe6MYMym,Mary Immaculate Sisters Dispensary,13072,,,,,1
BiDkjdXE6xS,Mary Mission,17514,,,,,11
yrcgpyWtIca,Masaantare Medical & Diagnostic Centre,27056,,,,,2
KJrHBLlkXkW,Masaba Health Centre,13779,,,,,1
sSoQItUt4xV,Masaba Hospital Kisumu,18414,,,,,3
Kp2Kfseofdd,Masaba Sub-County  Hospital,13678,,1,,,15
KXFxZXyY02o,Masaita Dispensary,21604,,,,,4
NDJuPQBcnp5,Masaita/ Miti-Tatu Dispensary,15149,,,,,2
ltcUO2beWif,Masala Dispensary,13780,,,,,1
gEEJqBQ2vqX,Maseno Mission Hospital,13781,,,,,22
c3fBhfh67ij,Maseno University Health Centre,13782,,,,,1
PjStrCd2jns,Mashambani Health Centre,17111,,,2,,3
RFhDgy6Fjq4,Mashuuru Sub County Hospital,15150,,,1,,5
eVIeDQ3j9kW,Masii Health Centre,12475,,,1,,7
QicfgXP0eIq,Masinga Sub County Hospital,12476,,,1,,7
w8NTKsoCH8b,Masogo Dispensary (Gem),17518,,,,,5
FDrUcAP4Sn4,Masogo Sub County Hospital,13785,,,3,,20
hwIHYJWkZ6t,Masongaleni Health Centre,12477,,,,,5
UVAVSmgmLgj,Masongo Dispensary,13786,,,,,1
YCzHNKJ7FAU,Masurura Dispensary,15151,,,,,3
sfbAvJY0SZo,Masyungwa Health Centre,12479,,,,,1
eBEloHL6afC,Mata Dispensary (Taveta),11577,,,,,1
Q65nfGHGytP,Matagatani Dispensary,23185,Near Muthitwa,,1,,1
ro2eMGFbUSH,Matandara Dispensary,22705,,,,,1
Ox532fak7j5,Matangwe Community Health Centre,13787,,,,,3
FXOdrZAa7bo,Matanya Dispensary,15152,,,,,6
CjFtrjWKuOg,Matasia Health Centre,22612,,1,3,,13
qXsAxUYj0Ji,Matasia Nursing Home,15153,,1,,,1
GSBiP2fM5zp,Matata Nursing Hospital,13789,,,1,,6
Ki3E4GNuj27,Matayos Sub County Hospital,16004,,,7,,18
rxOzjXrbCkg,Matete Level 4 Hospital,16005,,,5,,14
QyiacDkIae3,Mathare 3A (EDARP),13075,,,2,,8
Nagz0cfJyr2,Mathare Football For Hope,20096,,,,,8
Ea0rQYGCbYx,Mathare North Hospital,13077,,,8,,20
bT26O2JfFSB,Mathare Police Depot,13078,,,,,5
YaNze2Y77ss,Mathari Hospital,13076,,,1,,10
NhONNwKukSb,Mathigu Road Medical Clinic,18106,,,,,1
lkweBoYBFex,Mathuki Health Centre,12483,,,,1,7
YdthQZVh45c,Matibabu Ukwala Clinic,17529,,,5,,9
YBUNnyEh8fI,Matiliku Sub County Hospital,12485,,,,,6
km06lXUQMHh,Matinyani Health Centre,12486,,,1,,4
aldqNnKJgrg,Matioli Dispensary,16006,,,1,,1
SWDBkgq9Eqe,Matongo Health Centre,13791,,,,,2
VdppIFvYta4,Matongo Health Centre,13790,,,,,1
bi747puqsrA,Matoso Health Clinic,13793,,,,,4
ttGIIqGqFOt,Matsangoni Model Health Centre,11580,,,2,,11
eJFV4QoSfJT,Matuga Dispensary,11581,,,1,,3
L5iJ74Rc587,Matulo Dispensary,16389,,,1,,8
tbxhIQ6JM0B,Matumbei Dispensary,22569,,,,,1
ofrW88rUDJw,Matunda Sub County Hospital,16364,,,5,,20
iuatmqJAf90,Matunda Sub County Hospital,16008,,,1,,3
QKlLq6TjIbs,Matundu Dispensary,20897,,,,,1
MdJ4Zb1k9o6,Matungu Sub County Hospital,16037,G.O.K,,5,,19
KKCH0q292Wz,Matungulu Health Centre,16439,,,,,2
pvJMfkaYAoy,Matungulu Medical Centre,18292,,,,,1
ilI3ROaTEuf,Maturu Dispensary,16009,,,,,5
ZYwmqGDRgY5,Matuu Level 4 Hospital,12488,,,1,,26
evV553fu7J8,Matuu Mission Health Centre,12489,,,,,8
FJLwPzKpxiy,Mau Narok Health Centre,15156,,1,2,,17
IQYewgX95nr,Maua Cottage,12491,,,,,4
pnELrefcHxQ,Maua Methodist Hospital,12492,,1,2,,20
Cm3cjBE7D8g,Mauche Dispensary,15159,,,,,2
OTwG6MsbpwJ,Maungu Model Health Centre,18858,Model Health Centre Near Maungu town along Mombsa  Voi high way,,1,,4
pnHWEUwoiUe,Maunguja Dispensary,11582,,,,,1
s7kF3iHFhmi,Mautuma Sub County Hospital,16010,,,,,2
My8F17h7hXs,Mavindini Health Centre,12493,,,1,,5
LBMVkiN6Sgm,Mavirivirini Dispensary,21834,Its located off mwanda kafunduni road next to mavirivirini polytechnic,,,,1
N41yfPxtAlL,Mavivye Model Health Centre,17256,,,,,2
bHv5fWNPV64,Mavoko Level 4 Hospital,11936,,,9,,26
IcAY6Oco0YH,Mavueni Dispensary,18482,,,,,2
OSL5MaJMr1X,Mavuno Dispensary,29100,,,1,,
cDWVOPhvdMX,Maweni CDF Dispensary,17233,,,1,,2
GSMLIGa68Lp,Maweni Community Clinic,18302,,,1,,2
rsdEvozVRXa,Mawepi Medical and VCT Centre,15161,,,,,2
q2YkoU00i0A,Mawere Dispensary,13796,in maranda Division. Near the boarder of Siaya and Bondo,,,,3
Lmx5JKQupiP,Mayanja Dispensary,16489,,,2,,13
JtllB0zMEYx,Mayenje Dispensary,21042,,,,,1
xGjBNHxGFlj,Mayuge Dispensary,23136,Level 2 facility,,1,,
pnHduTXb4hB,Mazeras Health centre,11585,,,,,1
HG5fUsbdzk6,Mbaga Health Centre,13797,,,,,11
ByiHGSgYyaR,Mbagara Dispensary,16011,,,1,,3
mu9d9jNXA6Y,Mbagathi County Referral Hospital,13080,,2,2,1,57
mrAt9Y3nTvD,Mbaka Oromo Health Centre,20199,,,,,1
DbCCiO4AXdh,Mbale Rural Health Training Centre,16012,SITUATED OPPOSITE MUNG'OMA CHEMIST,,2,,13
Kr5Vxuz1yLl,Mbeere Sub-County Hospital,16467,Public Hospital situated in Siakago Town,,1,1,11
LNxAuLQveoD,Mbenuu H Centre,12499,,,,,1
wXwH1HE5zBG,Mbita Dispensary,21258,Along mbita nyango road,,,,1
Q0WwPORvQYR,Mbitini Catholic Dispensary,12502,,,,,2
x8kNXLmgEDu,Mbitini Health Centre,12521,,,,1,7
V0TLwliVcEl,Mbiuni Health Centre,12503,,,2,,6
Yq3aTkXLPJu,Mbogo Valley Dispensary,15164,Dispensary,,,,1
VAKx1xMbqMb,Mbogoini Dispensary,22930,Dispensary,,,,1
UiuRqwz4EGL,Mbogoini Health Centre,15165,,,,,1
Pf6O7e2obMA,Mbondoni Dispensary,12505,,,,,1
CQHJigpFnWc,Mbondoni Health Centre,16246,,,1,,1
pCUabLDKcQM,Mbooni Sub County Hospital,12508,,,2,,18
O0RZADYsZKW,Mbudzi Community Health Centre,25626,,,3,,3
hJ2Hv8MfMKI,Mbungoni Catholic Dispensary (CBHC),18043,,,,,20
DkqZGBy1IPy,Mbuta Model Health Centre,11592,,,,,5
geOkVvPwlny,Mbuvo Health Centre,20271,,,,,1
Mt0t1FQrKV9,Mbwaleni Dispensary,23126,,,,,1
r003lM7ULWV,Mecheo Dispensary,13800,,,,,4
C5PLq7spOnB,Mechimeru Model Health Center,16014,,3,3,,11
WNMTHpw5zHA,Med 25 International Kenya,17690,,,,,4
rxESvHl3vVu,Medical Link Integrated Health Program,19493,,,,,1
Gf4lXuOjUun,Medicare Health Satellite,22141,Clinic,,,,1
rg2QChGLA4d,Medicatia Hospital,18784,,,,,2
gpfyXA44VzU,Medication Therapy Management Ltd MC,23642,Medical Clinic,,,,1
Gv6OwZSA8YB,Medipoint Clinic,13085,,,,,2
pVKvt7k2Ezl,Medisprings Medical Centre,23338,,,,,1
fnSmzhWgG4D,Medistar Hospital Kericho Limited,14834,,,1,,1
bUT1BUFie4h,Mediwell Healthcare,26066,,,,,5
dcHigAaknnI,Medwin Medical Centre,23370,,,,,2
O8JiuIlnJqW,Melchezedek Hospital,13086,,,1,,3
gH2xbv4PEuL,Melkasons Clinic,18290,,,,,2
GqV92emjJFN,Menengai Crater Dispensary,18688,,,,,2
iuldhpF2IHo,Menengai Dispensary,20138,,,1,,8
jANQ3KJg3zK,Mephi Medical Clinic,19019,,,3,,1
mLeZs2UQqxN,Mercal Healthcare Bukembe,17500,,,,,1
B8SmKVbMgPs,Mercillin Afya Centre,13088,,,,,1
AXLt3hqpqDa,Mercy Mission Health Centre,13089,,,,,3
vp0qwrZfnXZ,MercyBeceja Medical Centre,19179,,,,,2
tjpnC8SWMVU,Mercylite Medical Clinic- Ruiru,27401,,1,1,,
D1sJppq7GNI,Meridian Equator Hospital,13109,,,,,3
K6aZavAsVgS,Meridian Hospital,11381,,,,,1
IDIznOCTMKr,Meridian Medical Centre (Kileleshwa),19546,,,,,1
aL5ylUzJokH,Merigi Health Centre,15178,,,2,,3
UNWE8sXbjqD,Merto Dispensary,15179,,,,,1
jy9XzBfmPgT,Meru GK Prison Dispensary,12049,,,,,5
ZfMkuuqM2an,Meru Jordan Hospital Ltd,22143,Off Meru Nanyuki raod,,,,2
uwvOG2N2Cmt,Meru Teaching And Referral Hospital,12516,,,1,,27
KK1WcZXESxW,Metaburo Health Centre,13802,,,,,1
h3ZRAclZqK8,Meteitei Sub-District Hospital,15181,Sub-County Hospital,,1,,5
NllZFLIZezD,Meto Dispensary,15182,,,,,6
Hu1BwBlNLr6,Metropolitan Hospital Nairobi,13090,,,1,,5
LLxCRZG7BNQ,Mewa Drop In Centre Mtwapa,25494,,,,,2
JxC1X6hXVU8,Mewa Health and Drug Treatment Centre,30435,,,,,1
r1TbCZwi10y,Mewa Hospital,11600,,,,,2
iZg0Knh5nhS,Mgange Dawida Dispensary,11602,,,,,1
J2Twz5u5b4j,Mgange Nyika Health Centre,11603,,,,,1
ZSphtl0DYFq,Miambani Health Centre,12519,,,1,,1
bTMaWzOeSk3,Miangeni Dispensary (Makueni),16972,,,,,2
pP9chFqKMHb,Miathene District Hospital,16234,,,,,5
UlOy160zonh,Midida Dispensary,17342,,,,,1
qMNc3YVyu0P,Midoina Dispensary,11609,,,,,1
q3Hiw70svzH,Midoti Dispensary,13804,situated in Suba East Division and its  a GOK Facility,,1,,10
yqVCQqifDtt,Miendo Dispensary,16015,,,,,3
dOTpdQwrYeN,Migori County Referral Hospital,13805,Situated in Suba Central and its a GOK Facilily,1,5,,48
xYVh11058m8,Migori GK Prison Dispensary,17728,Situated in Suba Central and its a GOK Facilily,,,,10
YRyV4nAX5YF,Migori Health Station Medical Clinic,17737,Situated in Suba Central and a private clinic.,,,,2
zZdbrp6Tyiv,Migosi Sub County Hospital,13807,Facility upgraded from Health Center to Sub County Hospital,,5,1,19
Mi0pnaEXWh2,Migwani Sub County Hospital,12523,,,1,,10
AgXw85ObcL2,Mihang'o Community Health Centre,23373,,,3,,7
Ght4C4o0gse,Mijomboni Dispensary,11610,,,2,,5
Zbiixb1PWrk,Mikindani (MCM) Dispensary,11613,,,,,11
FdzyWE8bSST,Mikindani Catholic Dispensary,11614,,,,,13
IT9A0y0Fhnm,Mikindani Hospital,26142,,,1,,4
vGh67T1wnv9,Mikindani Medical Clinic,11615,,,,,14
rZ0TTYsqvX4,Mikinduri Health Centre,12524,,,,,2
jobx0qAOpoC,Mikinduri Sub-District Hospial,12525,,,2,,5
Mc7rOQNXQDB,Mikulinzi Nursing Home,21885,near Chiefs camp mwolem ward,,,,2
fkW2AtRyW2I,Mikumbune Sub-District Hospital,12526,,,,,2
QOKaVUPEWEt,Mile 46 Health Centre,15185,,,,,8
PkluJozhxUq,Milele Medical Clinic,20018,,,,,1
jqhdt0LKOF6,Milimani Dispensary,22551,,,1,,
kPQ0eHv8sXA,Milo Health Centre,16018,,,1,,5
Myq1ZTOEgEg,Miluki Dispensary,16019,,,,,2
PIXoJMTOosr,Mindhine Dispensary,13803,,,,,3
FgzUi1FvxhW,Mindira Hospital Isibania,22883,,,,,1
bMTnmUmmVzc,Miniambo Health Centre,16766,,,2,,12
FyAFoMJe2KZ,Minto Family Healthcare Services,27806,,,,,1
RuVa3z3qxpv,Minyenya Health Centre,13809,,,1,,3
ibwx3O2yztO,Miranga Sub County Hospital,13810,,,3,,8
ClfJQm3Docv,Mirangine Health Centre,10732,,,1,,1
wTvF9os0GY9,Mirere Health Centre,17931,,,3,,5
qavGVyGtzJd,Mirihini Dispensary,11618,,,1,,1
WF04P1pRp2f,Miritini CDF Health Centre,11620,,,1,,5
DJbGPQhE93o,Miriu Health Centre,13812,,,,,10
FL59pgqDXol,Mirogi Health Centre,13813,,,2,,7
h01C8P5M7cJ,Mirugi Kariuki Sub County Hospital,15188,,,,,7
MqTbpO3e1hW,Misanga Dispensary,24004,,,1,,1
YT96nW0zOiS,Misemwa Dispensary,26909,,,,,2
ttjlT9tfGCj,Misori Dispensary,13815,,,1,,9
pd8QWEyzxge,Mission Care Nursing Home,23482,,1,,,8
u4oYyK5yC2Y,Mission of Mercy Clinic,16020,,1,3,,8
WK5p6zkEhfX,Mitaboni Health Centre,12530,,,1,,9
WSmI7U4BPLQ,Mitambo Dispensary,22341,,,1,,1
KP58I6j0B7U,Mithikwani Dispensary,20032,open,,1,,1
MtTTYN36PIJ,Miti-Mingi Dispensary,15190,,,1,,3
yziyz0xzElK,Mitubiri Health Centre,10733,,,,,5
I4rhKKyqMjo,Mitume Dispensary,18752,,,2,,6
olWgUsoEXF9,Mitunguu CCS Dispensary,12533,,,,,2
DRRmd0KhJ7U,Mitunguu Health Centre,12534,,,,,5
Q7lvZqAW3Kn,Mituntu Health Centre,12536,,,,,2
s0KfIcXWa0t,Miu Health Centre,12537,,,,,2
SmwH1kSTv25,Mivukoni Health Centre,12539,,,,,1
Z5NeINoTgxS,Miwani Health Centre,13816,,,,,2
bXF0VY9kv3l,Mjanaheri Dispensary,21213,New Facility,,,,1
zyuBBJsgA3V,Mji Wa Huruma Dispensary,13093,Located in Runda,,,,2
THNDq8DTAhT,Mkongani Health Centre,11629,,,,,5
ymyXICc8qiI,Mku Dispensary,,,,,,1
dNNCJcHxNSm,Mkunga Nursing Home,13094,,,,,5
MpjCuw3Cic1,Mkunumbi Dispensary,11631,,,1,,2
ebxBpxNXZP1,Mlaleo CDF Health Centre,18210,,,3,,21
JLycfrnh9yB,Mlaleo Medical Clinic,11634,,,1,,2
TaFv14A2EPb,Mlanjo Dispensary,11635,,,,,20
W4iT4HvZqo1,Mlimani Dispensary,18625,,,1,,5
oFxoGR6nj0P,Mlolongo Health Centre,18581,,,,,9
B0PjUV9h6dc,Mlolongo Wellness Centre,17844,,,1,,10
bTTjOUsE7hg,Mmangani Dispensary,20036,Situated in Malimo ward,,,,2
U5xbK4LZeYP,Mnara Dispensary,13817,,,,,2
aYdjz9VZhBX,Mnarani Dispensary,11636,,,2,,2
bplF50Sazvt,Mnyenzeni Health Centre,11638,"Just one kilometre away, west of the Kinango -Mazeras high way",,,,3
DQ9uKSobLf0,Mochenwa Health Centre,13818,,,,,4
oXSYWYUv3SN,Modambogho Dispensary,17126,,,1,1,4
LH6lsUoL8YL,Moding Health Centre,16021,,,1,1,7
O2EIvcf2efM,Mogogosiek Health Centre,15195,Health Centre,,,,9
sDgMJ46sG5P,Mogori-Komasimo Health Centre,16721,,,1,,8
guF7zg2Bdcy,Moi County Referral Hospital (Voi),11641,,,3,,15
I3B5p98nl4j,Moi Ndabi Dispensary,15203,,,,,1
AVddH16Mk6o,Mokason Clinic,13819,,,,,2
IbIpYe5FyiE,Mokomoni Health Centre,13820,,,,,3
iOrFEBbdgPP,Mokowe Health Centre,11642,Located within Mokowe town neibouring Mokowe secondaryschool,,,,1
cSzox9dcQlU,Molo Sub County Hospital,15212,,1,,,16
FePNyVVo8uo,Mombasa Breeze Hospital,28968,,,,,2
jTY37uG4jRF,Mombasa Hospital,11643,,,,,5
EiKAzXjoAYF,Mombasa Roadside Wellness Centre,18121,,,,,2
qXXmA7kcfgg,Momoniat Health Centre,15219,,,2,,5
FNIEbT5nfml,Mongorisi Health Centre,16982,,,1,,2
Q4B9NLzJ8LL,Moogi Dispensary,18447,,,,,1
NG0RbMYKfZ8,Morijo Loita Health Centre,15222,,,,,2
vbjwkfp78w9,Morning Star Ventures Limited-Medical Centre Katani,28767,,,,,1
rhWl2533WEE,Mosiro Dispensary,15227,,,,,1
vi6T7toguA4,Mosiro Health Centre (Kajiado West),15226,,,1,,3
VBjJasa8Ln3,Mosocho Market Dispensary,20114,,,2,,6
uBH5mlmn9vz,Mosoriot Sub County Hospital,15229,,,,,7
sWOamoFT3Gc,Motagara Health Centre,20750,,,,,1
IH4gWpzva9S,Motemorabu Dispensary,13824,,,,,2
V8D1wDlLKTR,Mother Amadea Health Centre,11645,,,,,2
EDaq176ZPhK,Mother and Child Hospital Ltd,13096,,1,,,
mz4h1YkqvAc,Mother Franciscan Mission Health Centre,15231,,,,,2
V5geBYzVbgD,Mother Kevin Hospital (Catholic),15232,,,1,1,4
nwObgxUyAay,Motonto Health Centre,16984,,,1,,1
vms7BpmHunU,Motosiet Health Centre,15234,,,1,,4
JycsLDC3dWx,Movement Of Men Against AIDS Of Kenya,18167,,,,,3
xWXdDXkBeiy,Mowlem Health Centre,24272,,,,,1
sVeeQKc0D7o,MPEG,22742,,,,,1
fjbix53Ealz,Mpeketoni Sub-County Hospital,11649,,,2,,6
Wftkk5ibasq,Mpinzinyi Health Centre,11650,,,,,2
LMrrCJ5eIO3,Mpukoni Health Centre,12546,,,,,1
