organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
sR8XmNVe3sG,Bliss GVS Health Care (Teleposta Clinic),23360,,,,,1
oqNMRWw8Aby,BLISS GVS Health Care Limited (Murang'a),23801,,,,,1
KqyJUhSG2jJ,Bloom Hospital Nakuru LTD,31240,,,,,18
Jzb6ev63ccp,Blue House (AHF) Dispensary,12885,,,1,,17
ZPYdnLyhRQf,Blue Nile Medical Clinic,19016,,,,,1
NjwY5R85aDB,Bobaracho Dispensary,20936,,,,,3
F3iyXRgcsHl,Bodaki Medical Clinic,18805,Medical Clinic,,1,,3
gYaEWAxDwbL,Bodi Health Centre,13503,,,1,,2
JYeGYYpvgR0,Boensummit medical clinic,24855,,1,,,7
xkktH1TfvFt,Boige Health Centre,13505,,,,,1
dZ06ZU1Ls42,Bokimai Dispensary,16974,,,,,3
a6KR1c7QXeL,Bokole CDF Dispensary,11254,,,1,,10
L7s7lF6nv95,Bokoli  Sub-County Hospital,15808,,,4,,8
kh69W34qkjJ,Boma La Tumaini VCT,14260,,,,,2
w84mh8esInK,Bomani Dispensary,11255,,,4,,7
J92hsLeBV21,Bomet Health Centre,14261,,,5,,15
V0KORzfRrmj,Bomu Medical Center -Old Town,27408,,,1,,6
OtnHULC4QwB,Bomu Medical Centre (Likoni),11259,,,,,17
w5udNAfZvrb,Bomu Medical Centre (Mariakani),18267,,,,,7
BsbMOs77eO2,Bomu Medical Hospital (Changamwe),11258,,,2,1,31
k2bd5BmXP2t,Bonde Dispensary,13506,,,,,7
vPGUu3uwSan,Bondeni Dispensary (Nakuru Central),14263,,,4,,15
kF4aaglTa6T,Bondeni Health Centre (Trans Nzoia - Saboti),14264,,,1,,5
BxIp7V5DU9D,Bondeni Sub County Hospital,14265,,,,,9
Z6fKUbscAbZ,Bondo County Referral Hospital,13507,level 4 facility in Maranda division. Is the Sub County reffaral Hospital,,13,,35
TRiVDQSVF92,Bondo Dispensary,21193,,,3,,9
x6bSboDXpcN,Bongu Konyango Dispensary,22192,Located in west katieno sublocation kogundo village about 4km from Bar korwa market.,,2,,3
VQmTtMzsPbf,Boore Clinic,10074,,,,,1
bsMADcRqCTg,Borangi Health Centre,13511,,,,,1
I28fQeEU1Av,Border Medical Care,14268,,,,,2
IRn95hBIVNP,Bore Imani Dispensary,24120,Dispensary,,,,1
wJozP0NTKIa,Borimagongo Dispensary,25137,,,,,1
xHviPII2Tc3,Boro Dispensary,13513,,,,,7
mZ5dBUXvXqh,Bosiango Health Centre,13514,,,1,,1
yP0DK96nb8x,Bosnia Dispensary,23019,,,,,2
BqUnGQlOdeK,Bosongo Hospital,13515,,,1,,2
Yk6aPsR7nng,Boyani Dispensary,15809,,,,,1
nsF2xje8PQl,Bridging Out-Patient,19405,"Thika road off kamiti road , kahawa west market opp",,,,1
mctIHG8Cpq5,Brimaxa Hospital Limited,30736,,,,,13
ypIztvPg8bq,Bristal Park Hospital,18271,,,,,1
Hnj1bkmmDRc,Brivan Hospital,31593,,,,,1
SvaPz4Uj4DE,Brook of Cherith Medical and Nutrition Centre,26703,,,,,2
X43Tf1LIRXh,Brother Andre Medial Centre,12887,,,,,2
dOLz6UrYS9o,Browns Memorial Medical Centre,18750,,,2,,2
WYaAkILOP16,Buchangu Dispensary,15810,Dispensary,,,,1
Y1wbtycY0V8,Budalangi Dispensary,15811,,,,,4
wPsUQXK6ynT,Buduta Dispensary,15813,,,,,4
LFwsHgAoh20,Bugamangi Dispensary,15814,off vihiga police-magui road,,,,3
gkvsBoZvbH1,Bugina Health Centre,15815,,,,,5
OQUMus9IsA1,Bugumbe Health Centre,13517,,,3,,11
Qwv7vHBFvMl,Bukalama Dispensary,17156,,,,,4
ndBnE6yUjoy,Bukaya Health Centre,15817,,,,,3
lSB8vsporuH,Bukembe Dispensary,15819,,,2,,9
ZmTIzgrOjed,Bukhalalire Dispensary,17158,,,,,2
IyKvH0rBqjM,Bukokholo Dispensary,22500,Dispensary,,1,,1
wcM6pww7h2a,Bukura Health Centre,15820,,,3,,10
VIFQ1jyMX4e,Bulondo Dispensary,15821,,,1,,1
