periodid,periodname,periodcode,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Total Positive (Add HV02-10 - HV02-14) HV02-15,MOH 731 15-24 (F) HV01-47,MOH 731 15-24 (M) HV01-46,MOH 731 25+ (F) HV01-49,MOH 731 25+ (M) HV01-48,MOH 731 Known Exposure_at Penta 1 HV02-37,MOH 731 Known Positive at 1st ANC HV02-03,MOH 731 Mother-baby pairs_24mths HV02-51,MOH 731 On ART_10-14 (F) HV03-031,MOH 731 On ART_10-14(M) HV03-030,MOH 731 On ART_15-19 (F) HV03-033,MOH 731 On ART_15-19(M) HV03-032,MOH 731 On ART_20-24 (F) HV03-035,MOH 731 On ART_20-24(M) HV03-034,MOH 731 On ART_25+ (F) HV03-037,MOH 731 On ART_25+(M) HV03-036,MOH 731 Presumed TB_Total HV03-058,MOH 731 Screen for TB _1-9 HV03-052,MOH 731 Screen for TB _10-14 HV03-053,MOH 731 Screen for TB _15-19 HV03-054,MOH 731 Screen for TB _20-24 HV03-055,MOH 731 Screen for TB _25+ HV03-056,MOH 731 Screen for TB_Total HV03-057,MOH 731 Screen for TB_<1 HV03-051,MOH 731 Screen CaCx_New F18+ HV03-087,MOH 731 Start ART_10-14 (F) HV03-019,MOH 731 Start ART_10-14(M) HV03-018,MOH 731 Start ART_15-19 (F) HV03-021,MOH 731 Start ART_15-19(M) HV03-020,MOH 731 Start ART_20-24 (F) HV03-023,MOH 731 Start ART_20-24(M) HV03-022,MOH 731 Start ART_25+ (F) HV03-025,MOH 731 Start ART_25+(M) HV03-024
2020,2020,2020,aCwUX5V42Zz,Embakasi West Sub County,KE_SubCounty_3143,,243,246,44,635,265,402,163,133,1163,1132,1697,1294,2619,1257,42863,17081,1045,965,1354,1476,2739,50265,56704,67,374,1,1,20,3,100,7,636,178
2020,2020,2020,PFu8alU2KWG,Embu County,KE_County_14,,400,84,58,298,266,459,246,254,1817,1929,2252,2097,3041,1384,70837,30245,3476,2509,3545,4126,4028,94456,109943,45,2121,8,3,20,6,97,26,475,268
2020,2020,2020,Njv37QXxNy2,Emgwen Sub County,KE_SubCounty_3168,,144,28,6,97,39,84,91,124,780,771,853,509,1243,268,24835,10138,368,905,1156,1051,999,27348,31378,14,10,3,2,3,1,27,2,146,103
2020,2020,2020,Lpy789vqRC6,Emuhaya Sub County,KE_SubCounty_3233,,102,167,116,197,149,1124,72,61,491,490,317,241,827,194,10490,5480,47,807,962,548,943,15584,18604,15,27,2,1,16,1,35,1,100,63
2020,2020,2020,PsjxYLsJSIp,Endebess Sub County,KE_SubCounty_3218,subcounty,102,121,92,243,311,1227,58,53,165,251,321,147,731,118,9613,4121,69,690,386,424,768,12778,15069,10,1164,,,12,1,29,9,104,63
2020,2020,2020,RScEHA3V38d,Fafi Sub County,KE_SubCounty_2990,,1,,5,54,30,,,,12,,24,,91,24,180,308,64,38,8,20,33,247,346,,,,,,,1,,2,4
2020,2020,2020,A4SNYCxrrnv,Galole Sub County,KE_SubCounty_3248,,11,35,25,29,37,,10,1,80,100,65,17,93,31,2049,1002,96,75,107,65,126,2203,2577,1,180,,,3,,3,1,12,11
2020,2020,2020,x7qUMtZZvo9,Ganze Sub County,KE_SubCounty_3043,,69,6,9,21,12,14,35,3,486,591,360,258,266,76,11496,2577,34,1073,990,583,269,13001,15951,35,,1,1,1,,21,4,80,26
2020,2020,2020,ecl4YnDebUi,Garbatulla Sub County,KE_SubCounty_3003,,12,2,4,4,2,2,16,16,39,37,7,30,62,24,1286,818,11,37,32,18,20,848,958,2,12,2,,,1,1,,17,15
2020,2020,2020,uyOrcHZBpW0,Garissa County,KE_County_7,,62,81,150,249,299,113,36,25,266,228,232,144,767,264,9172,4011,1136,305,281,329,560,10412,11908,19,35,,8,2,,15,4,78,49
2020,2020,2020,lQkHbTC1iRg,Garissa Sub County,KE_SubCounty_2994,,60,50,73,109,95,113,36,25,179,181,197,99,591,169,8247,3239,818,254,223,239,493,9479,10709,19,35,,8,2,,13,4,70,42
2020,2020,2020,Lj0mu9j58Ss,Garsen Sub County,KE_SubCounty_3250,,28,,,,,3,24,,194,154,137,66,129,24,3620,1527,5,181,305,175,143,4379,5183,,85,,,1,,3,,19,16
2020,2020,2020,Z7ALMtFNfeZ,Gatanga Sub County,KE_SubCounty_3133,,69,364,234,1311,702,2136,43,36,199,235,418,117,454,205,11548,5137,86,525,434,535,659,16686,18840,1,4,1,,2,2,18,4,92,59
2020,2020,2020,HEsM6W2ImQR,Gatundu North Sub County,KE_SubCounty_3039,,58,116,122,555,287,125,41,47,322,281,292,279,400,178,12222,5329,136,279,598,566,571,17254,19284,16,52,,1,1,,7,2,59,46
2020,2020,2020,EcRytSSIkUq,Gatundu South Sub County,KE_SubCounty_3040,,87,63,48,197,163,157,50,91,472,342,461,395,511,245,18513,7504,135,516,769,850,786,25985,28875,18,20,2,,3,1,21,2,120,70
2020,2020,2020,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,1054,344,216,610,697,719,661,640,4004,3602,2991,2031,6577,1438,110074,60779,1524,6419,7938,5082,8072,169858,197414,64,2358,6,4,37,2,161,12,463,340
2020,2020,2020,hBU8B1KI12P,Gilgil Sub County,KE_SubCounty_3163,Sub county level Office,192,24,29,62,119,1529,126,101,1007,665,1114,760,1206,419,27809,11233,928,981,1580,1801,1614,38318,44358,35,1365,2,1,13,1,45,9,218,115
2020,2020,2020,E7tkGikenbD,Githunguri Sub County,KE_SubCounty_3035,,129,216,178,521,450,377,76,85,431,556,664,447,1182,432,19270,9156,79,484,804,911,950,20860,24027,18,5,1,,4,,27,6,140,72
2020,2020,2020,BXaq5PxSfz2,Hamisi Sub County,KE_SubCounty_3235,,178,82,98,234,204,2034,109,124,1278,854,976,826,1226,420,27889,11645,185,1735,2073,1773,1591,38321,45528,35,228,4,1,21,4,38,5,246,139
2020,2020,2020,nK0A12Q7MvS,Homa Bay County,KE_County_43,,5722,3272,2346,3771,4252,5244,5140,4363,27056,24469,25371,16268,65960,16469,744209,395098,14937,43154,50021,40567,79142,1094399,1307809,820,42155,115,74,400,64,1326,218,4113,2852
2020,2020,2020,Ur2xRBDtazT,Homa Bay Town Sub County,KE_SubCounty_2998,,712,547,401,726,772,506,651,527,3331,2911,3721,2738,8031,1810,108035,58233,895,5073,6047,6254,9393,162180,189041,82,21125,13,8,37,6,158,29,383,297
2020,2020,2020,yXwsnpFBIPW,Igambangombe Sub County,KE_SubCounty_3256,,22,53,20,155,134,3,16,1,24,12,12,24,116,22,1284,521,110,27,22,38,104,1382,1573,,180,1,1,1,,9,,25,12
2020,2020,2020,TPfcUHno8oP,Igembe Central Sub County,KE_SubCounty_3117,,85,202,131,301,277,11,45,6,187,239,152,51,411,299,5427,2644,21,266,301,157,405,5640,6769,,,1,,3,3,14,5,71,49
2020,2020,2020,G9DoZvSdGLx,Igembe North Sub County,KE_SubCounty_3116,,51,95,35,133,138,20,31,41,209,215,354,276,602,95,7554,3112,782,454,413,581,599,9461,11518,11,912,2,1,12,3,15,7,101,56
2020,2020,2020,wtuGWT7KjVm,Igembe South Sub County,KE_SubCounty_3118,,85,207,221,525,574,51,58,121,793,738,1313,1245,1483,784,28946,12856,2983,1297,1506,2532,2242,41625,49228,26,2773,2,1,14,4,28,3,147,96
2020,2020,2020,l5E6PiIUs1J,Ijara Sub County,KE_SubCounty_2988,One of the sub counties within Garissa County,1,,,,,,,,27,11,11,33,19,5,354,208,62,6,38,44,16,548,652,,,,,,,1,,3,1
2020,2020,2020,BE6HMtlHyl1,Ikolomani Sub County,KE_SubCounty_3011,,158,1035,687,1808,1594,2628,90,87,626,720,812,614,1043,236,24178,10057,1910,1202,1341,1411,1267,34127,39369,24,909,3,,13,2,39,7,151,102
2020,2020,2020,OnNcTsJgfvL,Imenti Central Sub County,KE_SubCounty_3112,,38,165,113,318,219,4,30,12,302,226,318,153,459,108,8743,3787,221,225,386,349,488,7884,9340,5,195,2,,2,,10,4,75,60
2020,2020,2020,BDxUGx86itV,Imenti North Sub County,KE_SubCounty_3113,,102,195,2556,567,455,71,94,106,519,654,984,946,1438,629,31487,14338,2752,766,974,1466,4336,37573,38429,315,2010,2,1,10,2,38,7,194,137
2020,2020,2020,AFIlzKNxXST,Imenti South Sub County,KE_SubCounty_3110,,148,136,125,602,576,47,88,176,1062,756,1038,897,1379,468,31558,14610,596,1074,1546,1654,1635,37339,43280,33,286,2,4,19,1,30,7,218,139
2020,2020,2020,bzOfj0iwfDH,Isiolo County,KE_County_11,,104,129,157,196,195,66,70,36,501,428,455,266,955,277,12013,5482,2023,452,745,523,787,12402,14884,18,58,6,1,8,3,25,2,155,103
2020,2020,2020,I2LYLqKU6AW,Isiolo Sub County,KE_SubCounty_3004,,89,127,153,192,193,64,54,20,454,388,399,213,736,235,10494,4521,1990,413,703,496,751,11518,13872,16,46,3,1,8,2,24,2,136,86
2020,2020,2020,ETGSIeGBsqt,Ithanga Sub County,,,31,147,93,397,403,809,21,24,224,103,143,143,294,84,5729,2071,44,288,327,286,377,7810,9095,7,,,,5,3,5,1,41,24
2020,2020,2020,vSISrsNNHwq,Jomvu Sub County,KE_SubCounty_3131,,168,78,36,105,116,84,129,92,322,525,397,355,1163,379,22394,9573,184,897,857,746,1539,31523,35676,13,400,3,1,11,3,29,11,219,102
2020,2020,2020,aiqi2bz0IMI,Juja Sub County,KE_SubCounty_3038,,116,389,398,396,315,168,65,39,275,169,398,220,867,321,12406,5680,6,614,448,616,1190,18085,20960,7,139,2,,4,,29,4,105,48
2020,2020,2020,lb5LzWiUX8Y,Kabete Sub County,KE_SubCounty_3032,,118,52,65,148,103,201,52,69,128,206,173,85,698,203,9640,4483,19,150,140,65,442,4910,5729,21,386,2,,5,,26,3,147,72
2020,2020,2020,k1mze33jOs0,Kabuchai Sub County,KE_SubCounty_2970,,145,84,64,169,137,4053,75,101,397,361,399,177,1104,194,12671,4652,270,699,781,607,1302,17209,20602,4,1027,2,1,16,2,34,3,156,60
2020,2020,2020,wwDtq26ddp6,Kacheliba Sub County,KE_SubCounty_3264,,12,172,156,310,424,1,3,8,69,42,34,16,41,6,2097,996,144,148,104,50,50,3059,3365,,,2,2,5,,9,2,61,52
2020,2020,2020,s2jeo1C9aM8,Kahuro Sub County,,,29,67,62,265,246,610,25,21,220,283,286,292,281,139,8370,4183,54,262,489,546,398,12020,13711,,,,,1,,1,4,37,24
2020,2020,2020,pKJ4NZGPzTA,Kaiti Sub County,KE_SubCounty_3251,,93,37,29,60,81,26,43,55,514,514,477,390,682,358,14385,5974,115,540,1025,867,1050,20351,23840,10,1007,1,2,4,1,20,4,116,49
2020,2020,2020,SZapM1R0Kti,Kajiado Central Sub County,KE_SubCounty_3009,,128,240,207,217,409,60,91,49,486,456,467,312,560,171,14701,6154,1045,899,864,723,677,18937,22116,17,471,,1,8,1,20,3,135,84
